,VARIETY,BOTANICAL_NAME,PRONUNCIATION,ALIASES,DESCRIPTION,ZONE,MIN_TEMP,DIFFICULTY,HEIGHT,SPREAD,GROWTH_RATE,COMPANION_PLANTS,BLOOMING_FRUITING,SUMMER_FOLIAGE,FALL_FOLIAGE,FLOWER_COLOR,USES_CHARACTERISTICS,PRICE,DEER_RESISTANT,DROUGHT_TOLERANT,ATTRACTS_POLLINATORS,GROUND_COVER,OTHER
908,Multipik Hybrid Summer Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,Vigorous bush plants have a high yield potential and long harvest period. Early and prolific as long as it is kept picked. Straight yellow. 5-6”. Summer squash. Two plants per hill.,,40°,,"18""",48-60”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",50 days to harvest,,,,"Hybrid: Early Producer; Vigorous plants; 5-6 inch fruits; Delicious grilled, baked, steamed or sauted",0,,,,,
909,Naked Bear Pumpkin,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Now you truly can have your cake (or pie) and eat it too with this uncompromising pumpkin. A dual-use variety, it produces 2-4 pound, dark orange fruit with sweet, rich flesh for baking and hulless, or dare we say, bare naked seeds for snacking. From creamy, spiced pies to nutty, nutritious seeds, Naked Bear does it all.",,40°,,12-24”,8',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",105 days to harvest,Green,,Yellow,"Hybrid; 2-4 lb. fruit; Canner; Delicious seeds; Self-pollinating; Very high yields; Bright orange; Sweet, fine-grained flesh",0,,,,,
910,One Ball Hybrid Summer Round Zucchini Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"One Ball's attractive and bright-colored fruits are rounder than Summer Ball, which it replaced. Semi-open, bush habit plants with short spines and very good yields. Fruits may experience some stem and blossom end greening during prolonged warm weather periods.",,40°,,"20""",36-48”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",48 Days to harvest,Green,,Yellow,"Hybrid; Vibrant yellow fruit with appealing shape; Harvest at 2-3 in diameter for optimal texture and flavor; """,0,,,,,
911,Pepitas Hybrid Pumpkin,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Pumpkin Pepitas have a sweet flesh that can be eaten baked or raw, but these beautiful pumpkins are not typically grown for their flesh or even as ornaments. Their treasure is in the delicious hull-less seeds they produce. ‘Naked’ seeds are much easier to eat fresh or roasted (no hulls to remove), are very nutritious and high in protein.",,40°,,"12-18""",4-6',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",90 days to harvest,Green,,Yellow,Hybrid; 9-12 lb. fruits; Delicious fresh or baked; Delicious seeds,0,,,,,
912,Pinnacle Hybrid Spaghetti Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Smaller and more uniform than OP varieties for a more predictable outcome. Slightly sweet, nutty flavor. An excellent pasta alternative — bake or boil, fork out the flesh, and top the spaghetti with your favorite sauce. Attractive, bright lemon-yellow shell.",,40°,,"20""","60""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",85 Days to harvest,Green,,Yellow,Hybrid; Medium-small size fruit; High yielding; Semi-Bush plants; Avg. weight: 3 lbs.,0,,,,,
913,Reno Acorn Winter Squash,Cucurbita pepo,kyoo-KUH-bee-tuh PEH poe,,"Flowers appear earlier in the year than some other varieties, so there is a greater potential for a long harvest window. Be sure to plant lots of bee-attracting flowers nearby so that every female blossom gets the best potential for setting fruit.",44630,42°,Easy,"24-36""","15-18""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",70-75 Days to harvest,Green,Green,Yellow,"Hybrid; Sweet, nutty flavour; Moderate furrows; Classically shaped acorn squash;",0,,,,,
914,Snowball Pumpkin,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Small white pumpkin that holds its color well. Attractive, smooth-rind, round, avg. 1 1/2–2 1/2 lb. fruit. Bright white color with dark green stems. Has the ability to hold its white color under stress. Medium-length vines.",,40°,,18-24”,8',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",100 days to harvest,Green,,Yellow,Hybrid; 2-4 lb. fruits; For Painting; Decorative,0,,,,,
915,Spaghetti Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Medium-sized, 3–4 lb.,15-18” oblong fruits. Can be stored several months in a cool, dry place. Try growing on a fence or other vertical supports in small-space gardens. Heirloom.",,40°,,10-12”,48-60”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",90-100 days to harvest,,,,,0,,,,,
916,Sugaretti Hybrid Winter Spaghetti Squash,Cucurbita pepo,kyoo-KUH-bee-tuh PEH poe,,"Sugaretti is a new spaghetti winter squash that prolifically produces a  generous crop of mid-sized orange-fleshed vegetables. These striped beauties are the perfect size for culinary gardeners who want to grow a great tasting, healthy fall treat on semi-bushy vines that spread only about two feet wide/long. The nutty sweet flesh (somewhat reminiscent of a sweet potato) can be used as a pasta substitute simply roasted or blended in soups.  Determinate vining plants have good disease resistance to powdery mildew and produce fruits slightly earlier than other similar varieties. Sugaretti produces so many fruits that it’s good that their hard shells protect the flesh for a long shelf life.",,40°,,"9-10""","24""",Fast,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",90 days to harvest,Green,Green,Yellow,Hybrid; Determinate; Container; Can be Staked; 9-10 inch elongated oval green fruit with stripes; Bright orange flesh; 6-7 fruits per plant; 1-1.5 lb fruits,0,,,,,
917,Summer Medley Zucchini Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"A blend of five summer squashes that are all compatible in the garden. A mix of green and gold zucchinis, yellow summer and Mediterranean squashes. Semi-compact plants take up less room and produce lots of squash. Experience almost limitless cooking opportunities with this beautiful, nutritious and interesting summer squash blend. Traditional zucchinis, plus an unusual Caserta type and a Lebanese type.",,40°,,,,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",43-51 Days to harvest,Green,Green,Yellow,Hybrid; Compact; 4-7 inch fruits; Containers; Raised Beds,0,,,,,
918,Summer Surprise Hybrid Zucchini Squash Medley,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"A colorful mix of at least five hybrid zucchinis all compact, space-saving types including golden yellow, black and light green traditional zucchinis, plus an unusual Caserta type and a Lebanese type. This rainbow of colors in a single packet provides any cook with plentiful options for arresting, nutritious meals.",,40°,,Varies,Varies,Fast,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",45-48 Days to harvest,Green,,Yellow,,0,,,,,
919,Sweet Dumpling Winter Delicata Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"The sweet and tender flesh of the Sweet Dumpling squash is a fall favorite for many. Non-GMO, heirloom Sweet Dumpling squash seeds produce round, cream-colored fruits with dark green stripes that weigh approximately 7 oz. Stuffed or mashed, the orange flesh adds delicious flavor to the dinner table. This delicata squash variety stores well for up to 3 months.",,40°,,12-24”,6',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",100 days to harvest,Green,,Yellow,"Heirloom; Open Pollinated; 7 oz fruits, about the size of a medium grapefruit; Stores for 3 months; 8-10 fruits pervine;",0,,,,,
920,Table Ace Acorn Winter Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"This semi-bush plant produces good yields of 6 inch long by 5 inch wide black-green Acorn type squash. The squash has delicious bright orange flesh. The finest, tastiest acorn you'll ever grow! It's one of the exceptional quality squash that can be found. The flesh has almost no fibers and no stringiness. Stores well all winter. The vines are quite compact and yield 5 to 7 squash, making them ideal for small home gardens. An excellent choice for home gardens, farmer’s markets, market growers, open production, and commercial production. A winter squash variety.",,40°,,"24""","30""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",90 days to harvest,Green,Green,Yellow,Hybrid; Best tasting variety; Winter squash; Containers; Raised Beds; Small Gardens; Good baking variety; Good for making pies; Open field production,0,,,,,
921,Thelma Sanders' Acorn Winter Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,Sweet Potato Squash,"Wonderful cream-colored acorn squash. Sweet chestnut flavor, enormously productive. Thelma described this good keeper as ‘better than sweet potatoes.’",44630,42°,,"24""","60-72""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",85-90 days to harvest,Green,Green,Yellow,"Heirloom; Open Pollinated; Gourmet; Keeps well for months, with the longest shelf life of any squash, and sweetens during storage.; Small, cream colored acorn squash; Sweet chestnut flavor; Extremely productive; Winter squash; Delicious seeds; High yields; Good for baking and pies",0,,,,,
922,Toad Pumpkin,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"This small, semi-hard shell variety is early maturing, yields a high number of tear-drop-shaped fruit on bush-type plants and has nice embedded handles. Toad’s bright orange color and multiple bumps and warts truly give it unique character. Perfect for holiday decorating. Warts can disappear under environmental stress.",44630,42°,,"36""","36-48""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",85 Days to harvest,Green,Green,Yellow,Hybrid; Containers; Decorative; 4-5 inch fruits with warts;,0,,,,,
923,Wee-B-Little Pumpkin,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Tiny, round pumpkin. Remarkably miniature, about the size of a baseball, avg. 3–3 1/2 inch diam., 10–14 oz., and very endearing. Slightly flat-round shape like a normal pumpkin. Bright orange rind, smooth enough for painting.",,40°,,"24""","24-36""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",95 Days to harvest,Green,,,Open Pollinated; Decorative; Carved; Cooked; Painted; 8-16 oz. fruit;,0,,,,,
924,Lemon Grass,Cymbopogon citratus,,Citronella Grass,"Used widely in the Caribbean and in Asian dishes. An essential ingredient in Thai and Vietnamese cooking. Attractive, needle-like leaves with deep plum-purple flowers with blue, white and yellow flares. This is a pungent zesty lemon flavor and aroma, use in small amounts. The clean citrus flavor mixes well with garlic, cilantro and chilies. Both the stalks and blades are used.",,36°,,24-48”,24-36”,,,,,,,,4,,,,,
925,Colorado Blue Artichoke,Cynara scolymus,kin-R-uh skahl-i-MUS,,"An easier-to-grow artichoke, Colorado Red Star can be grown as an annual from seed in a wide range of climates. The bracts range from purplish-green to paintbrush strokes of plum, with a perfect globe shape. This a variety that will develop heads early in the first year with just 10 days of cool weather required. Ideal for cold winter locations where overwintering perennial artichokes is difficult.",44628,42°,,2-3',2-3',,"Good Companions: Peas, sunflowers, cabbage family.",75 days to harvest,Green,Green,Purple to Green,Open Pollinated; Annual; High Yields; Cold tolerant; Early,0,,,,,
926,Imperial Star Artichoke,Cynara scolymus,kin-R-uh skahl-i-MUS,,"Attractive plants with gray green foliage. Sweet, mild flavor. Buds are round and thornless. Harvest them when they are 4 1/2 inches in diameter for best flavor. Harvest late summer. Space plants 36-48 apart.""",,40°,,24-60”,36-48”,,,95 Days to harvest,,,,,5,,,,,
927,Atlas Carrot,Daucus carota,daw-CUSS car-OH-tah,,"Small round Parisian Market type.



A great variety for shallow soils for its small, 1 1/2–2 inch diameter root. Good flavor and root uniformity. Stronger resistance to splitting than others of this type. Tops are short but strong for easy bunching. NOTE: For round roots, be sure to provide even moisture. Drought stress will result in an elongated shape.",,20°,,10-12”,"2-3""",,"Plant with beans, Brassicas, chives, leeks, lettuce, onions, peas, peppers, pole beans, radish, rosemary, sage, and tomatoes. Avoid planting with dill, parsnips, and potatoes. Generally speaking, it's a good idea to keep some space between root crops so they don't compete for available phosphorus. Carrots planted near tomatoes may have stunted roots, but will have exceptional flavour. Chives also benefit carrots.",70 Days to harvest,Green,Green,,Open Pollinated;,0,,,,,
